a_id,a_subtype,at_ip,at_fqdn,a_tags,v_name,v_description,v_remedy,v_severity,v_location,v_cve,v_cwe,v_published_datetime,v_tags,v_details
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-37992: linux, linux-6.1 -- security update","Debian: CVE-2025-37992: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-37992,,26-05-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38027: linux, linux-6.1 -- security update","Debian: CVE-2025-38027: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38027,,18-06-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2021-3999: glibc -- security update,Debian: CVE-2021-3999: glibc -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2021-3999,,24-08-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-38289: tiff -- security update,Debian: CVE-2023-38289: tiff -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2023-38289,,02-08-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""5"", ""modified_on"": ""2/19/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-0266: linux -- security update,Debian: CVE-2023-0266: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-0266,,25-01-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.9""}]","{""cvss_v2"": ""7.0"", ""cvss_v3"": ""7.9"", ""risk_score"": ""646"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-0590: linux -- security update,Debian: CVE-2023-0590: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-0590,,23-03-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""4.7""}]","{""cvss_v2"": ""4.4"", ""cvss_v3"": ""4.7"", ""risk_score"": ""315"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-52594: linux -- security update,Debian: CVE-2023-52594: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-52594,,06-03-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2022-40982: intel-microcode, linux -- security update","Debian: CVE-2022-40982: intel-microcode, linux -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-40982,,11-08-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""6.5"", ""risk_score"": ""435"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38085: linux, linux-6.1 -- security update","Debian: CVE-2025-38085: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38085,,28-06-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.1""}]","{""cvss_v2"": ""6.2"", ""cvss_v3"": ""7.1"", ""risk_score"": ""475"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-23151: linux, linux-6.1 -- security update","Debian: CVE-2025-23151: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-23151,,01-05-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""4.7""}]","{""cvss_v2"": ""4.4"", ""cvss_v3"": ""4.7"", ""risk_score"": ""315"", ""instances"": ""1"", ""modified_on"": ""11/7/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-0054: vim -- security update,Debian: CVE-2023-0054: vim -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-0054,,04-01-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.9"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38100: linux, linux-6.1 -- security update","Debian: CVE-2025-38100: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,10,/,CVE-2025-38100,,04-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""9.4"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Ubuntu: (Multiple Advisories) (CVE-2020-14311): GRUB 2 vulnerabilities,Ubuntu: (Multiple Advisories) (CVE-2020-14311): GRUB 2 vulnerabilities,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2020-14311,,29-07-2020 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.7""}]","{""cvss_v2"": ""3.6"", ""cvss_v3"": ""5.7"", ""risk_score"": ""382"", ""instances"": ""2"", ""modified_on"": ""8/18/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38312: linux, linux-6.1 -- security update","Debian: CVE-2025-38312: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38312,,11-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""4.4""}]","{""cvss_v2"": ""6.2"", ""cvss_v3"": ""4.4"", ""risk_score"": ""295"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-37891: python-urllib3 -- security update,Debian: CVE-2024-37891: python-urllib3 -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-37891,,17-06-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""4.4""}]","{""cvss_v2"": ""5.7"", ""cvss_v3"": ""4.4"", ""risk_score"": ""295"", ""instances"": ""1"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-32665: glib2.0 -- security update,Debian: CVE-2023-32665: glib2.0 -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-32665,,14-09-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.7"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Apache HTTPD: Apache HTTP Server: mod_ssl error log variable escaping (CVE-2024-47252),Apache HTTPD: Apache HTTP Server: mod_ssl error log variable escaping (CVE-2024-47252),Please refer to vendor security advisory for remediation steps.,10,/,CVE-2024-47252,,10-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""2"", ""modified_on"": ""11/6/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26845: linux -- security update,Debian: CVE-2024-26845: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26845,,17-04-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""7/28/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Apache Tomcat: Important: HTTP/2 DoS (CVE-2020-11996),Apache Tomcat: Important: HTTP/2 DoS (CVE-2020-11996),Please refer to vendor security advisory for remediation steps.,8,/,CVE-2020-11996,,26-06-2020 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""5.0"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""1"", ""modified_on"": ""11/26/24""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-37995: linux, linux-6.1 -- security update","Debian: CVE-2025-37995: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-37995,,29-05-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""6.2"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2025-27363: freetype -- security update,Debian: CVE-2025-27363: freetype -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2025-27363,,11-03-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""8.1""}]","{""cvss_v2"": ""9.3"", ""cvss_v3"": ""8.1"", ""risk_score"": ""663"", ""instances"": ""1"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-23931: python-cryptography -- security update,Debian: CVE-2023-23931: python-cryptography -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-23931,,07-02-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""4.8""}]","{""cvss_v2"": ""5.8"", ""cvss_v3"": ""4.8"", ""risk_score"": ""321"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-38601: linux -- security update,Debian: CVE-2024-38601: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-38601,,19-06-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""4.7""}]","{""cvss_v2"": ""4.4"", ""cvss_v3"": ""4.7"", ""risk_score"": ""315"", ""instances"": ""6"", ""modified_on"": ""9/19/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-52612: linux -- security update,Debian: CVE-2023-52612: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-52612,,18-03-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Apache Tomcat: Important: Apache Tomcat denial of service (CVE-2023-24998),Apache Tomcat: Important: Apache Tomcat denial of service (CVE-2023-24998),Please refer to vendor security advisory for remediation steps.,10,/,CVE-2023-24998,,21-02-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""1"", ""modified_on"": ""8/11/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38166: linux, linux-6.1 -- security update","Debian: CVE-2025-38166: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,10,/,CVE-2025-38166,,04-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""9.4"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38143: linux, linux-6.1 -- security update","Debian: CVE-2025-38143: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38143,,04-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.9"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-35806: linux -- security update,Debian: CVE-2024-35806: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-35806,,17-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38067: linux, linux-6.1 -- security update","Debian: CVE-2025-38067: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38067,,18-06-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2021-3409: qemu -- security update,Debian: CVE-2021-3409: qemu -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2021-3409,,23-03-2021 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.7""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.7"", ""risk_score"": ""382"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2021-3974: vim -- security update,Debian: CVE-2021-3974: vim -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2021-3974,,19-11-2021 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-24765: git -- security update,Debian: CVE-2022-24765: git -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-24765,,12-04-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.0""}]","{""cvss_v2"": ""6.9"", ""cvss_v3"": ""6.0"", ""risk_score"": ""402"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-35915: linux -- security update,Debian: CVE-2024-35915: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-35915,,19-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38499: linux, linux-6.1 -- security update","Debian: CVE-2025-38499: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38499,,15-08-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""6.2"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-37867: linux, linux-6.1 -- security update","Debian: CVE-2025-37867: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-37867,,09-05-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""1"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38173: linux, linux-6.1 -- security update","Debian: CVE-2025-38173: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,10,/,CVE-2025-38173,,04-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38445: linux, linux-6.1 -- security update","Debian: CVE-2025-38445: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38445,,28-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26993: linux -- security update,Debian: CVE-2024-26993: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26993,,01-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""1/30/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-2509: gnutls28 -- security update,Debian: CVE-2022-2509: gnutls28 -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2022-2509,,01-08-2022 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38384: linux, linux-6.1 -- security update","Debian: CVE-2025-38384: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38384,,28-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26923: linux -- security update,Debian: CVE-2024-26923: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26923,,25-04-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.0""}]","{""cvss_v2"": ""6.6"", ""cvss_v3"": ""7.0"", ""risk_score"": ""469"", ""instances"": ""6"", ""modified_on"": ""2/20/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-38633: linux -- security update,Debian: CVE-2024-38633: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-38633,,21-06-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-43804: python-urllib3 -- security update,Debian: CVE-2023-43804: python-urllib3 -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-43804,,04-10-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.9""}]","{""cvss_v2"": ""7.3"", ""cvss_v3"": ""5.9"", ""risk_score"": ""395"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-52698: linux -- security update,Debian: CVE-2023-52698: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-52698,,17-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-52583: linux -- security update,Debian: CVE-2023-52583: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-52583,,06-03-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",SSH Server Supports 3DES Cipher Suite,SSH Server Supports 3DES Cipher Suite,Please refer to vendor security advisory for remediation steps.,5,/,,,01-02-2009 00:00:00,"[{""key"": ""severity"", ""value"": ""Moderate""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""0.0"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""2"", ""modified_on"": ""2/18/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26328: qemu -- security update,Debian: CVE-2024-26328: qemu -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26328,,19-02-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.0""}]","{""cvss_v2"": ""4.3"", ""cvss_v3"": ""6.0"", ""risk_score"": ""402"", ""instances"": ""1"", ""modified_on"": ""8/15/25""}"
